Mes_de_corte,I0,Rin,Rf,Lambda,MSQEr,120d,MaxDiario,Dias_hasta_max 
Alt,54.000,1.420,1.140,0.0715,0.000,141.000,4.000,154.000
Cen,580.000,1.428,1.1428,0.1,0.000,999.000,24.000,148.000
Med,24.000,1.428,1.1428,0.043,0.000,97.000,4.000,177.000
Huas,248.000,1.285,1.014,0.0145,0.000,408.000,6.000,110.000
