Mes_de_corte,I0,Rin,Rf,Lambda,MSQEr,120d,MaxDiario,Dias_hasta_max 
Alt,70.000,1.420,0.857,0.014,0.000,133.000,2.000,89.000
Cen,508.000,1.428,1.1428,0.1,0.000,1102.000,24.000,142.000
Med,26.000,1.428,0.92,0.0145,0.000,104.000,2.000,119.000
Huas,340.000,1.428,0.92,0.025,0.000,22.000,5.000,72.000
