Mes_de_corte,I0,Rin,Rf,Lambda,MSQEr,120d,MaxDiario,Dias_hasta_max 
Junio,1539.000,1.000,1.100,0.025,28.000,612.000,22.000,222.000
Julio,798.000,1.286,1.043,0.025,152.000,1084.000,17.000,126.000
Agosto ,798.000,1.286,1.043,0.018,968.000,1.436,25.000,132.000
